CustomerKey,GeographyKey,Name,BirthDate,MaritalStatus,Gender,EmailAddress,NumberChildrenAtHome,AddressLine1,DateFirstPurchase,CommuteDistance,Currency,Income
11000,26,Jon Yang,6/10/1971,M,M,jon24@adventure-works.com,2,3761 N. 14th St,19/01/2011,1-2,USD,90000
11001,37,Eugene Huang,10/05/1976,S,M,eugene10@adventure-works.com,3,2243 W St.,15/01/2011,0-1,USD,60000
11002,31,Ruben Torres,9/02/1971,M,M,ruben35@adventure-works.com,3,5844 Linden Land,7/01/2011,2-5,USD,60000
11003,11,Christy Zhu,14/08/1973,S,F,christy12@adventure-works.com,0,1825 Village Pl.,29/12/2010,5-10,USD,70000
11004,19,Elizabeth Johnson,5/08/1979,S,F,elizabeth5@adventure-works.com,5,7553 Harness Circle,23/01/2011,1-2,USD,80000
11005,22,Julio Ruiz,1/08/1976,S,M,julio1@adventure-works.com,0,7305 Humphrey Drive,30/12/2010,5-10,USD,70000
11006,8,Janet Alvarez,2/12/1976,S,F,janet9@adventure-works.com,0,2612 Berry Dr,24/01/2011,5-10,USD,70000
11007,40,Marco Mehta,6/11/1969,M,M,marco14@adventure-works.com,3,942 Brook Street,9/01/2011,0-1,USD,60000
11008,32,Rob Verhoff,4/07/1975,S,F,rob4@adventure-works.com,4,624 Peabody Road,25/01/2011,10+,USD,60000
11009,25,Shannon Carlson,29/09/1969,S,M,shannon38@adventure-works.com,0,3839 Northgate Road,27/01/2011,5-10,USD,70000
11010,22,Jacquelyn Suarez,5/08/1969,S,F,jacquelyn20@adventure-works.com,0,7800 Corrinne Court,14/01/2011,5-10,USD,70000
11011,22,Curtis Lu,3/05/1969,M,M,curtis9@adventure-works.com,4,1224 Shoenic,30/12/2010,10+,USD,60000
11012,611,Lauren Walker,14/01/1979,M,F,lauren41@adventure-works.com,0,4785 Scott Street,16/03/2013,1-2,USD,100000
11013,543,Ian Jenkins,3/08/1979,M,M,ian47@adventure-works.com,0,7902 Hudson Ave.,13/04/2013,0-1,USD,100000
11014,634,Sydney Bennett,6/11/1973,S,F,sydney23@adventure-works.com,0,9011 Tank Drive,23/03/2013,1-2,USD,100000
11015,301,Chloe Young,26/08/1984,S,F,chloe23@adventure-works.com,0,244 Willow Pass Road,18/01/2013,5-10,USD,30000
11016,329,Wyatt Hill,25/10/1984,M,M,wyatt32@adventure-works.com,0,9666 Northridge Ct.,9/02/2013,5-10,USD,30000
11017,39,Shannon Wang,24/12/1949,S,F,shannon1@adventure-works.com,0,7330 Saddlehill Lane,12/01/2011,5-10,USD,20000
11018,32,Clarence Rai,6/10/1955,S,M,clarence32@adventure-works.com,0,244 Rivewview,17/01/2011,5-10,USD,30000
11019,52,Luke Lal,4/09/1983,S,M,luke18@adventure-works.com,0,7832 Landing Dr,12/02/2013,5-10,USD,40000
11020,53,Jordan King,19/03/1984,S,M,jordan73@adventure-works.com,0,7156 Rose Dr.,29/12/2012,1-2,USD,40000
11021,536,Destiny Wilson,2/03/1984,S,F,destiny7@adventure-works.com,0,8148 W. Lake Dr.,23/01/2013,1-2,USD,40000
11022,609,Ethan Zhang,10/04/1984,M,M,ethan20@adventure-works.com,0,1769 Nicholas Drive,20/01/2013,5-10,USD,40000
11023,298,Seth Edwards,9/04/1984,M,M,seth46@adventure-works.com,0,4499 Valley Crest,17/02/2013,1-2,USD,40000
11024,311,Russell Xie,16/03/1984,M,M,russell7@adventure-works.com,0,8734 Oxford Place,27/06/2013,5-10,USD,60000
11025,24,Alejandro Beck,22/06/1951,M,M,alejandro45@adventure-works.com,1,2596 Franklin Canyon Road,6/01/2011,1-2,USD,10000
11026,4,Harold Sai,1/10/1951,S,M,harold3@adventure-works.com,0,8211 Leeds Ct.,23/01/2011,1-2,USD,30000
11027,40,Jessie Zhao,5/06/1952,M,M,jessie16@adventure-works.com,0,213 Valencia Place,16/01/2011,5-10,USD,30000
11028,17,Jill Jimenez,9/10/1951,M,F,jill13@adventure-works.com,0,9111 Rose Ann Ave,26/01/2011,1-2,USD,30000
11029,32,Jimmy Moreno,19/06/1952,M,M,jimmy9@adventure-works.com,0,6385 Mark Twain,19/01/2011,1-2,USD,30000
11030,28,Bethany Yuan,18/02/1958,M,F,bethany10@adventure-works.com,1,636 Vine Hill Way,5/02/2011,1-2,USD,10000
11031,8,Theresa Ramos,18/02/1953,M,F,theresa13@adventure-works.com,0,6465 Detroit Ave.,1/02/2011,1-2,USD,20000
11032,35,Denise Stone,8/12/1952,M,F,denise10@adventure-works.com,0,626 Bentley Street,18/02/2011,1-2,USD,20000
11033,9,Jaime Nath,19/09/1958,M,M,jaime41@adventure-works.com,0,5927 Rainbow Dr,15/02/2011,5-10,USD,20000
11034,12,Ebony Gonzalez,16/12/1952,M,F,ebony19@adventure-works.com,0,5167 Condor Place,1/02/2011,5-10,USD,20000
11035,33,Wendy Dominguez,23/08/1953,M,F,wendy12@adventure-works.com,1,1873 Mt. Whitney Dr,6/02/2011,1-2,USD,10000
11036,343,Jennifer Russell,16/06/1984,M,F,jennifer93@adventure-works.com,0,3981 Augustine Drive,22/01/2013,1-2,USD,60000
11037,49,Chloe Garcia,27/05/1983,S,F,chloe27@adventure-works.com,0,8915 Woodside Way,20/01/2013,5-10,USD,40000
11038,6,Diana Hernandez,20/09/1953,M,F,diana2@adventure-works.com,1,8357 Sandy Cove Lane,7/02/2011,5-10,USD,10000
11039,19,Marc Martin,16/06/1954,M,M,marc3@adventure-works.com,0,9353 Creekside Dr.,7/02/2011,5-10,USD,30000
11040,642,Jesse Murphy,29/01/1983,M,M,jesse15@adventure-works.com,0,3350 Kingswood Circle,3/04/2013,1-2,USD,30000
11041,325,Amanda Carter,15/04/1983,M,F,amanda53@adventure-works.com,0,5826 Escobar,14/01/2013,1-2,USD,60000
11042,338,Megan Sanchez,11/12/1982,M,F,megan28@adventure-works.com,0,1397 Paraiso Ct.,21/01/2013,0-1,USD,70000
11043,325,Nathan Simmons,23/08/1981,M,M,nathan11@adventure-works.com,0,1170 Shaw Rd,8/05/2013,5-10,USD,60000
11044,25,Adam Flores,21/11/1954,M,M,adam10@adventure-works.com,1,6935 Candle Dr,28/02/2011,1-2,USD,20000
11045,8,Leonard Nara,16/11/1955,S,M,leonard18@adventure-works.com,0,7466 La Vista Ave.,10/04/2013,1-2,USD,30000
11046,6,Christine Yuan,19/09/1955,M,F,christine4@adventure-works.com,0,2356 Orange St,6/02/2011,5-10,USD,30000
11047,34,Jaclyn Lu,27/08/1955,M,F,jaclyn12@adventure-works.com,0,2812 Mazatlan,3/02/2011,1-2,USD,30000
11048,39,Jeremy Powell,21/05/1956,M,M,jeremy26@adventure-works.com,0,1803 Potomac Dr.,10/02/2011,5-10,USD,30000
11049,307,Carol Rai,15/01/1986,S,F,carol8@adventure-works.com,0,6064 Madrid,9/03/2013,5-10,USD,40000
11050,31,Alan Zheng,6/03/1957,M,M,alan23@adventure-works.com,0,2741 Gainborough Dr.,20/02/2011,5-10,USD,30000
11051,21,Daniel Johnson,31/01/1957,S,M,daniel18@adventure-works.com,0,8085 Sunnyvale Avenue,29/12/2013,1-2,USD,30000
11052,8,Heidi Lopez,3/02/1957,S,F,heidi19@adventure-works.com,0,2514 Via Cordona,17/02/2011,5-10,USD,40000
11053,359,Ana Price,17/02/1986,M,F,ana0@adventure-works.com,0,1660 Stonyhill Circle,17/01/2013,1-2,USD,60000
11054,34,Deanna Munoz,7/09/1957,M,F,deanna33@adventure-works.com,0,5825 B Way,3/02/2011,5-10,USD,40000
11055,22,Gilbert Raje,2/09/1957,M,M,gilbert35@adventure-works.com,0,8811 The Trees Dr.,31/01/2011,5-10,USD,40000
11056,10,Michele Nath,1/10/1958,M,F,michele19@adventure-works.com,0,5464 Janin Pl.,26/02/2011,5-10,USD,40000
11057,5,Carl Andersen,7/04/1970,M,M,carl12@adventure-works.com,0,6930 Lake Nadine Place,22/02/2011,1-2,USD,70000
11058,29,Marc Diaz,23/04/1965,M,M,marc6@adventure-works.com,0,6645 Sinaloa,9/03/2011,1-2,USD,80000
11059,27,Ashlee Andersen,29/09/1959,S,F,ashlee19@adventure-works.com,0,8255 Highland Road,18/02/2013,5-10,USD,80000
11060,40,Jon Zhou,14/09/1959,M,M,jon28@adventure-works.com,0,6574 Hemlock Ave.,19/03/2011,5-10,USD,80000
11061,23,Todd Gao,20/02/1976,M,M,todd14@adventure-works.com,0,8808 Geneva Ave,13/03/2011,5-10,USD,80000
11062,547,Noah Powell,1/03/1981,M,M,noah5@adventure-works.com,0,9794 Marion Ct,7/01/2013,5-10,USD,40000
11063,634,Angela Murphy,4/10/1980,S,F,angela41@adventure-works.com,0,4927 Virgil Street,12/01/2013,5-10,USD,40000
